"SubplotID","amplifier_rel_abund","diluter_rel_abund","intermediate_rel_abund","amplifier_abs_abund","diluter_abs_abund","intermediate_abs_abund"
"A1.2.2",0.142156862745098,0.0147058823529412,0.0257352941176471,9.66666666666667,1,1.75
"A1.2.4",0.202970297029703,0,0.0482673267326733,20.5,0,4.875
"A1.3.2",0.144444444444444,0.0666666666666667,0.0506172839506174,13,6,4.55555555555556
"A1.3.4",0.164383561643836,0,0.0494672754946728,12,0,3.61111111111111
"A1.4.1",0.228571428571429,0,0.025,16,0,1.75
"A1.4.3",0.302013422818792,0.0402684563758389,0.0223713646532438,22.5,3,1.66666666666667
"A1.5.1",0.148148148148148,0,0.0392156862745098,11.3333333333333,0,3
"A1.5.3",0.123566878980892,0,0.054140127388535,9.7,0,4.25
"A1.6.1",0,0.0291666666666667,0.177777777777778,0,1.75,10.6666666666667
"A1.6.3",0.291666666666667,0.0486111111111111,0.0590277777777778,21,3.5,4.25
"A2.1.1",0.471698113207547,0.00943396226415094,0.0542452830188679,25,0.5,2.875
"A2.1.3",0.231404958677686,0.0165289256198347,0.084297520661157,14,1,5.1
"A2.2.2",0.203125,0.015625,0.078125,13,1,5
"A2.2.4",0.234375,0.109375,0.0390625,15,7,2.5
"A2.5.1",0.462962962962963,0.0185185185185185,0.0194444444444444,25,1,1.05
"A2.5.3",0.161458333333333,0.0416666666666667,0.0902777777777777,7.75,2,4.33333333333333
"A2.6.2",0.093984962406015,0,0.0726817042606516,6.25,0,4.83333333333333
"A2.6.4",0.0958904109589042,0.0547945205479452,0.095890410958904,7,4,7
"A2.9.1",0.3125,0.0357142857142857,0.0245535714285714,17.5,2,1.375
"A2.9.3",0.143103448275862,0.0206896551724138,0.0362068965517242,10.375,1.5,2.625
"A3.2.2",0.125,0.0138888888888889,0.0512152777777778,9,1,3.6875
"A3.2.4",0.121428571428571,0.00714285714285714,0.0366071428571429,8.5,0.5,2.5625
"A3.3.1",0.056179775280899,0.0112359550561798,0.0674157303370786,2.5,0.5,3
"A3.3.3",0.137096774193548,0.0161290322580645,0.0841013824884793,8.5,1,5.21428571428571
"A3.5.2",0.153361344537815,0,0.046218487394958,9.125,0,2.75
"A3.5.4",0.310077519379845,0.00516795865633075,0.0254706533776301,20,0.333333333333333,1.64285714285714
"A3.7.2",0.0074074074074074,0.0518518518518519,0.0638888888888889,0.5,3.5,4.3125
"A3.7.4",0.135714285714286,0.00952380952380953,0.0285714285714286,9.5,0.666666666666667,2
"A3.9.2",0.272108843537415,0.0170068027210884,0.0925170068027211,20,1.25,6.8
"A3.9.4",0.28169014084507,0.0375586854460094,0.0428403755868545,30,4,4.5625
"A4.1.1",0.244047619047619,0.0357142857142857,0.0376984126984127,10.25,1.5,1.58333333333333
"A4.1.3",0.15748031496063,0.015748031496063,0.0344488188976378,10,1,2.1875
"A4.2.1",0.16260162601626,0,0.0663956639566395,10,0,4.08333333333333
"A4.2.3",0.175862068965517,0.0275862068965517,0.0951724137931035,12.75,2,6.9
"A4.3.2",0.0783898305084746,0,0.0702179176755446,4.625,0,4.14285714285714
"A4.3.3",0.425531914893617,0,0.049645390070922,30,0,3.5
"A4.5.1",0.454545454545455,0,0.0965909090909092,20,0,4.25
"A4.5.3",0.239316239316239,0.0170940170940171,0.0170940170940171,14,1,1
"A4.6.1",0.248484848484848,0.0136363636363636,0.00681818181818182,13.6666666666667,0.75,0.375
"A4.6.3",0.134259259259259,0.00694444444444444,0.0509259259259259,9.66666666666667,0.5,3.66666666666667
"A5.1.2",0.0392156862745098,0.0280112044817927,0.0504201680672269,2.33333333333333,1.66666666666667,3
"A5.1.4",0,0.0494505494505494,0.0865384615384616,0,4.5,7.875
"A5.2.2",0,0.0571428571428571,0.0777142857142858,0,5,6.8
"A5.2.4",0.0595238095238095,0.0257936507936508,0.0853174603174604,5,2.16666666666667,7.16666666666667
"A5.4.1",0.0823529411764706,0.0130718954248366,0.0441176470588235,6.3,1,3.375
"A5.4.3",0.0701149425287355,0,0.0656814449917898,6.1,0,5.71428571428571
"A5.5.2",0.149700598802395,0.00598802395209581,0.028942115768463,12.5,0.5,2.41666666666667
"A5.5.4",0.125730994152047,0.105263157894737,0.0426065162907268,7.16666666666667,6,2.42857142857143
"A5.8.2",0.0476190476190475,0,0.0748299319727891,3.5,0,5.5
"A5.8.4",0.108333333333333,0,0.0688888888888888,9.75,0,6.2
"A6.4.1",0.0392156862745098,0.0239651416122004,0.0905695611577964,3,1.83333333333333,6.92857142857143
"A6.4.3",0.19620253164557,0.0506329113924051,0.0506329113924051,15.5,4,4
"A6.5.1",0,0.00617283950617284,0.0652557319223987,0,0.5,5.28571428571429
