"Surveyed_by","Date","method","SubplotID","SPP","PlantID","Phen","Leaf","Dam","Chew","mScrape","iScrape","Mine","Gall","Window","Lspot","Rust","Pmildew","Dmildew","Blight","wet","rhiz.like","clorosis","white.mildew.like.thing","thrips","tent","scler.like","Phomopsis","lf.curl","necrotic.lesion","Chlorotic.spots","Choking","slime_mold_like","Notes","disease","herbivory","tot.damage","SPP2","SubplotID2"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",1,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",1,"v",2,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",1,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",1,"v",4,"d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,1,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",2,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",2,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",2,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",2,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",3,"v",1,"d",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",3,0,3,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",3,"v",2,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Lolium perenne","I5.7.1"
