meadow,site,plot,WGS84.N,WGS84.E,CH1903+,CH1903++,elevation,Notes
Nesselboden,N4,N4.1,46.86952,9.48889,2756296,1192974,1414,
Nesselboden,N4,N4.2,46.869693,9.489025,2756307,1192994,1417,
Nesselboden,N4,N4.3,46.869744,9.489174,2756317,1192999,1417,
Nesselboden,N4,N4.4,46.869443,9.488944,2756301,1192965,1413,
Nesselboden,N4,N4.5,46.869527,9.489207,2756321,1192975,1411,
Nesselboden,N4,N4.6,46.86957,9.489358,2756332,1192980,1410,was moved 2m towards NB4.7 because of a road
Nesselboden,N4,N4.7,46.869317,9.489167,2756318,1192952,1409,was moved 2m towards NB4.5 because of a road
Nesselboden,N4,N4.8,46.869399,9.48936,2756333,1192961,1406,
Nesselboden,N4,N4.9,46.869515,9.489597,2756350,1192975,1404,was moved 2m towards NB4.6 because of a bush
Nesselboden,N5,N5.1,46.869745,9.490013,2756381,1193001,1409,
Nesselboden,N5,N5.2,46.869936,9.4903,2756403,1193023,1409,
Nesselboden,N5,N5.3,46.870023,9.490402,2756410,1193033,1410,was moved 3m away from NB5.6 because of a road
Nesselboden,N5,N5.4,46.869386,9.490274,2756402,1192962,1396,was moved 3m closer to NB5.7 because of a rock
Nesselboden,N5,N5.5,46.869728,9.490414,2756412,1193000,1404,
Nesselboden,N5,N5.6,46.869761,9.49045,2756415,1193004,1404,
Nesselboden,N5,N5.7,46.869533,9.490401,2756412,1192978,1400,
Nesselboden,N5,N5.8,46.869639,9.490695,2756434,1192991,1399,
Nesselboden,N5,N5.9,46.869725,9.490877,2756447,1193001,1400,
Im Bofel,I3,I3.1,46.867152,9.509702,2757890,1192752,714,
Im Bofel,I3,I3.2,46.867172,9.509853,2757901,1192755,713,
Im Bofel,I3,I3.3,46.867329,9.510182,2757926,1192773,709,
Im Bofel,I3,I3.4,46.867448,9.51038,2757940,1192787,707,
Im Bofel,I3,I3.5,46.867535,9.510586,2757956,1192797,704,
Im Bofel,I3,I3.6,46.867033,9.509883,2757904,1192739,714,
Im Bofel,I3,I3.7,46.867063,9.51011,2757921,1192743,712,
Im Bofel,I3,I3.8,46.867192,9.510305,2757935,1192758,710,
Im Bofel,I3,I3.9,46.867351,9.510814,2757974,1192777,703,
Im Bofel,I3,I3.10,46.867348,9.510737,2757968,1192776,704,
Im Bofel,I4,I4.1,46.868597,9.511815,2758046,1192917,704,moved 1m towards plot 4 to avoid roadside
Im Bofel,I4,I4.2,46.868675,9.512088,2758067,1192926,702,
Im Bofel,I4,I4.3,46.868713,9.512387,2758090,1192931,701,
Im Bofel,I4,I4.4,46.868382,9.511997,2758061,1192894,701,moved 1m towards plot 7 to avoid cow path
Im Bofel,I4,I4.5,46.86853,9.512216,2758077,1192911,702,
Im Bofel,I4,I4.6,46.868573,9.512452,2758095,1192916,702,
Im Bofel,I4,I4.7,46.868289,9.512192,2758076,1192884,697,
Im Bofel,I4,I4.8,46.568378,9.512408,2758092,1192894,698,
Im Bofel,I4,I4.9,46.868437,9.512609,2758107,1192901,699,
Nesselboden,N1,N1.1,46.867883,9.486444,2756115,1192787,1396,
Nesselboden,N1,N1.2,46.867972,9.486604,2756127,1192797,1397,moved 1.5m towards plot1 to avoid large rock
Nesselboden,N1,N1.3,46.868017,9.486835,2756152,1192803,1395,moved 3m towards plot 2 to avoid large tree stump
Nesselboden,N1,N1.4,46.867612,9.4867,2756135,1192757,1393,
Nesselboden,N1,N1.5,46.867722,9.486885,2756149,1192770,1392,
Nesselboden,N1,N1.6,46.867877,9.487128,2756167,1192788,1391,
Nesselboden,N1,N1.7,46.867544,9.486939,2756154,1192750,1387,
Nesselboden,N1,N1.8,46.867693,9.487112,2756166,1192767,1388,
Nesselboden,N1,N1.9,46.867757,9.487308,2756181,1192775,1390,
Nesselboden,N2,N2.1,46.868887,9.487524,2756194,1192901,1409,moved 1m towards plot4 to avoid big pile of sticks
Nesselboden,N2,N2.2,46.86895,9.487974,2756228,1192909,1409,
Nesselboden,N2,N2.3,46.869126,9.488196,2756245,1192929,1410,
Nesselboden,N2,N2.4,46.868735,9.487843,2756219,1192884,1405,
Nesselboden,N2,N2.5,46.868828,9.487978,2756229,1192985,1440,moved 2m towards plot 2 to avoid pathway
Nesselboden,N2,N2.6,46.868886,9.488331,2756256,1192902,1408,
Nesselboden,N2,N2.7,46.86859,9.488083,2756238,1192869,1405,
Nesselboden,N2,N2.8,46.868762,9.488255,2756250,1192888,1406,
Nesselboden,N2,N2.9,46.868777,9.488464,2756266,1192890,1407,
Nesselboden,N3,N3.1,46.869088,9.488484,2756267,1192925,1410,The plot locations for this site seem fairly inaccurate
Nesselboden,N3,N3.2,46.869234,9.488634,2756278,1192941,1412,
Nesselboden,N3,N3.3,46.869392,9.488906,2756298,1192960,1413,
Nesselboden,N3,N3.4,46.868946,9.488747,2756287,1192910,1408,
Nesselboden,N3,N3.5,46.869148,9.488855,2756295,1192932,1413,
Nesselboden,N3,N3.6,46.869173,9.488989,2756305,1192935,1411,moved 2m towards plot9 to avoid path
Nesselboden,N3,N3.7,46.868773,9.488798,2756292,1192891,1408,
Nesselboden,N3,N3.8,46.869001,9.489037,2756309,1192916,1410,
Nesselboden,N3,N3.9,46.869197,9.489185,2756320,1192938,1409,
Oberberg,O3,O3.1,46.87744,9.494128,2756673,1193864,1611,
