meadow,site,plot,WGS84.N,WGS84.E,CH1903+,CH1903++,elevation,Notes
Nesselboden,N4,N4.1,46.86952,9.48889,2'756'296,1'192'974,1'414,
Nesselboden,N4,N4.2,46.869693,9.489025,2'756'307,1'192'994,1'417,
Nesselboden,N4,N4.3,46.869744,9.489174,2'756'317,1'192'999,1'417,
Nesselboden,N4,N4.4,46.869443,9.488944,2'756'301,1'192'965,1'413,
Nesselboden,N4,N4.5,46.869527,9.489207,2'756'321,1'192'975,1'411,
Nesselboden,N4,N4.6,46.86957,9.489358,2'756'332,1'192'980,1'410,was moved 2m towards NB4.7 because of a road
Nesselboden,N4,N4.7,46.869317,9.489167,2'756'318,1'192'952,1'409,was moved 2m towards NB4.5 because of a road
Nesselboden,N4,N4.8,46.869399,9.48936,2'756'333,1'192'961,1'406,
Nesselboden,N4,N4.9,46.869515,9.489597,2'756'350,1'192'975,1'404,was moved 2m towards NB4.6 because of a bush
Nesselboden,N5,N5.1,46.869745,9.490013,2'756'381,1'193'001,1'409,
Nesselboden,N5,N5.2,46.869936,9.4903,2'756'403,1'193'023,1'409,
Nesselboden,N5,N5.3,46.870023,9.490402,2'756'410,1'193'033,1'410,was moved 3m away from NB5.6 because of a road
Nesselboden,N5,N5.4,46.869386,9.490274,2'756'402,1'192'962,1'396,was moved 3m closer to NB5.7 because of a rock
Nesselboden,N5,N5.5,46.869728,9.490414,2'756'412,1'193'000,1'404,
Nesselboden,N5,N5.6,46.869761,9.49045,2'756'415,1'193'004,1'404,
Nesselboden,N5,N5.7,46.869533,9.490401,2'756'412,1'192'978,1'400,
Nesselboden,N5,N5.8,46.869639,9.490695,2'756'434,1'192'991,1'399,
Nesselboden,N5,N5.9,46.869725,9.490877,2'756'447,1'193'001,1'400,
Im Bofel,I3,I3.1,46.867152,9.509702,2'757'890,1'192'752,714,
Im Bofel,I3,I3.2,46.867172,9.509853,2'757'901,1'192'755,713,
Im Bofel,I3,I3.3,46.867329,9.510182,2'757'926,1'192'773,709,
Im Bofel,I3,I3.4,46.867448,9.51038,2'757'940,1'192'787,707,
Im Bofel,I3,I3.5,46.867535,9.510586,2'757'956,1'192'797,704,
Im Bofel,I3,I3.6,46.867033,9.509883,2'757'904,1'192'739,714,
Im Bofel,I3,I3.7,46.867063,9.51011,2'757'921,1'192'743,712,
Im Bofel,I3,I3.8,46.867192,9.510305,2'757'935,1'192'758,710,
Im Bofel,I3,I3.9,46.867351,9.510814,2'757'974,1'192'777,703,
Im Bofel,I3,I3.10,46.867348,9.510737,2'757'968,1'192'776,704,
Im Bofel,I4,I4.1,46.868597,9.511815,2'758'046,1'192'917,704,moved 1m towards plot 4 to avoid roadside
Im Bofel,I4,I4.2,46.868675,9.512088,2'758'067,1'192'926,702,
Im Bofel,I4,I4.3,46.868713,9.512387,2'758'090,1'192'931,701,
Im Bofel,I4,I4.4,46.868382,9.511997,2'758'061,1'192'894,701,moved 1m towards plot 7 to avoid cow path
Im Bofel,I4,I4.5,46.86853,9.512216,2'758'077,1'192'911,702,
Im Bofel,I4,I4.6,46.868573,9.512452,2'758'095,1'192'916,702,
Im Bofel,I4,I4.7,46.868289,9.512192,2'758'076,1'192'884,697,
Im Bofel,I4,I4.8,46.568378,9.512408,2'758'092,1'192'894,698,
Im Bofel,I4,I4.9,46.868437,9.512609,2'758'107,1'192'901,699,
Nesselboden,N1,N1.1,46.867883,9.486444,2'756'115,1'192'787,1'396,
Nesselboden,N1,N1.2,46.867972,9.486604,2'756'127,1'192'797,1'397,moved 1.5m towards plot1 to avoid large rock
Nesselboden,N1,N1.3,46.868017,9.486835,2'756'152,1'192'803,1'395,moved 3m towards plot 2 to avoid large tree stump
Nesselboden,N1,N1.4,46.867612,9.4867,2'756'135,1'192'757,1'393,
Nesselboden,N1,N1.5,46.867722,9.486885,2'756'149,1'192'770,1'392,
Nesselboden,N1,N1.6,46.867877,9.487128,2'756'167,1'192'788,1'391,
Nesselboden,N1,N1.7,46.867544,9.486939,2'756'154,1'192'750,1'387,
Nesselboden,N1,N1.8,46.867693,9.487112,2'756'166,1'192'767,1'388,
Nesselboden,N1,N1.9,46.867757,9.487308,2'756'181,1'192'775,1'390,
Nesselboden,N2,N2.1,46.868887,9.487524,2'756'194,1'192'901,1'409,moved 1m towards plot4 to avoid big pile of sticks
Nesselboden,N2,N2.2,46.86895,9.487974,2'756'228,1'192'909,1'409,
Nesselboden,N2,N2.3,46.869126,9.488196,2'756'245,1'192'929,1'410,
Nesselboden,N2,N2.4,46.868735,9.487843,2'756'219,1'192'884,1'405,
Nesselboden,N2,N2.5,46.868828,9.487978,2'756'229,1'192'985,1'440,moved 2m towards plot 2 to avoid pathway
Nesselboden,N2,N2.6,46.868886,9.488331,2'756'256,1'192'902,1'408,
Nesselboden,N2,N2.7,46.86859,9.488083,2'756'238,1'192'869,1'405,
Nesselboden,N2,N2.8,46.868762,9.488255,2'756'250,1'192'888,1'406,
Nesselboden,N2,N2.9,46.868777,9.488464,2'756'266,1'192'890,1'407,
Nesselboden,N3,N3.1,46.869088,9.488484,2'756'267,1'192'925,1'410,The plot locations for this site seem fairly inaccurate
Nesselboden,N3,N3.2,46.869234,9.488634,2'756'278,1'192'941,1'412,
Nesselboden,N3,N3.3,46.869392,9.488906,2'756'298,1'192'960,1'413,
