"Species","Chlorophyll","CN","Height","Leaf_lifespan","Leaf_N","Leaf_P","Photosynthetic_rate","Seed_mass","SLA","f1"
"Achillea millefolium",6.08,22.5136663357273,0.157839238410596,9.84520547945205,21.590983902983,2.32863915958228,0.303467490878141,0.112555555555556,14.9963603013943,-0.494524986588287
"Acinos alpinus",NA,24.350194553,0.111086956521739,NA,17.99,NA,NA,NA,14.9382061011204,-0.840472255478325
"Aegopodium podagraria",NA,18.910623763,0.76,NA,34.3730361343673,2.1279645629,NA,1.99,28.3888157717652,1.27337296776176
"Agrimonia eupatoria",NA,24.373333333,0.617857142857143,NA,17.7125,1.78,NA,3.549010101,16.3363888889444,-0.685177027764282
"Agrostis capillaris",NA,17.0450730860692,0.2814988,3.24,21.9438017503114,2.14217814466667,NA,0.346771302726621,29.906875505945,1.07802594834365
"Agrostis schraderiana",NA,17.0450730860692,0.350556285714286,14.16,21.941311187147,2.14217814466667,NA,0.292488791009594,29.8828667412972,1.02389728161541
"Agrostis sp",NA,17.0450730860692,0.350556285714286,14.16,21.941311187147,2.14217814466667,NA,0.292488791009594,29.8828667412972,1.02389728161541
"Agrostis stolonifera",NA,16.2323341685714,0.572307692307692,NA,31.0765516571,1.714019945325,NA,0.02,23.44604993152,0.543245896052257
"Ajuga reptans",NA,19.1156284526667,0.0805421686746988,NA,21.6845850257143,NA,NA,0.982,29.0274221199256,0.941638755073615
"Alchemilla sp",NA,NA,0.214626315789474,NA,28.9660305,2.385,NA,NA,19.3877777777778,0.114876250674116
"Anthericum ramosum",NA,NA,0.65,NA,NA,NA,NA,NA,18.1525,NA
"Anthyllis vulneraria",NA,NA,0.148917808219178,18,27.59,1.42,NA,3.09597222216667,18.1236600543484,-0.24908113179795
"Arabis ciliata",NA,NA,0.16625,NA,NA,NA,NA,NA,NA,NA
"Arabis sp",NA,NA,0.16625,NA,NA,NA,NA,NA,NA,NA
"Arenaria serpyllifolia",NA,NA,0.170666666666667,6,8.06666666666667,4.2,NA,0.0662727272727273,18.8892634161634,-0.315626773753202
"Asperula cynanchica",NA,NA,0.286666666666667,NA,15,1.5,NA,1.6,13.8265555555278,-1.09985024843529
"Aster amellus",NA,NA,0.3625,NA,21.1,NA,NA,0.6575,13.3216197789512,-0.927084980358558
"Aster bellidiastrum",NA,19.847543027625,0.1965,NA,22.4552777783333,1.09295408333333,NA,0.6575,14.50559960833,-0.843813449428256
"Bellis perennis",NA,15.1405179411429,0.0643938053097345,4,23.3488721984,3.268418507,NA,0.136428571428571,33.0930118088137,1.64729938184058
"Brachypodium pinnatum",NA,26.189233867,0.339761956521739,4.61333333333333,18.6849533332667,1.408,NA,3.4125,28.3686466268478,0.684035751739033
"Briza media",NA,27.2420370205556,0.206568181818182,7.96,16.9363329565217,1.38729990429412,NA,0.33,22.2279698353086,-0.0840871002253621
"Bromus erectus",NA,24.9686759160909,0.367318965517241,3.46931506849315,18.35656992525,1.24096428571429,0.320091309384181,4.138,15.9588905812906,-0.747263475371353
"Bromus hordeaceus",NA,28.0148487955,0.216306976744186,6,26.0054707088889,1.179759539,0.51,2.24728571428571,18.0209730436023,-0.290809295483696
"Bromus inermis",4.92,17.245084591,0.605888946828248,4.66666666666667,32.0603011903864,2.00688121499891,0.174801547739567,4.7,19.4895128890295,-0.0363621569978376
"Bromus sp",4.92,26.0022276192273,0.358029740842553,3.97954337899543,24.4191825941956,1.43718980909495,0.223142840576678,3.3635,18.9778340063628,-0.326566722356893
"Buphthalmum salicifolium",NA,NA,0.4375,NA,NA,NA,NA,NA,18.6926666668334,NA
"Campanula glomerata",NA,NA,0.346923076923077,6,27,NA,NA,0.123333333333333,27.027027027018,0.902292353123368
"Campanula rotundifolia",NA,20.632911392,0.138632911392405,14.6666666666667,22.5328913818766,1.5,0.0326053074141049,0.0546,25.3013427761491,0.427242659238717
"Campanula sp",NA,17.058322892,0.249189024390244,12.5,27.0409211348272,1.5,0.0326053074141049,0.0679047619047619,32.9495169861854,1.44520531768108
"Carduus defloratus",NA,NA,0.314125,NA,19.93,1.56,NA,NA,15.04,-0.79418967234805
"Carduus sp",NA,12.349153567,0.655136363636364,NA,26.505,1.56,NA,3.187142857,13.322,-0.777766144784273
"Carex flacca",NA,26.2516788533333,0.32946875,13.5,16.0515280126364,1.37046968386111,NA,0.593333333333333,16.01804158615,-0.842133875876984
"Carex sempervirens",NA,33.68844435,0.156502941176471,NA,15.2564285714286,1.27958333333333,NA,0.8,12.435109345276,-1.28286803921422
"Carex sp",3.05,27.0087527310769,0.164898031496063,16.7142857142857,15.97189993095,1.25438996448611,NA,0.803454545454545,16.2901530054332,-1.08458142002375
"Carlina acaulis",NA,NA,0.151,NA,31.78,2.61,NA,NA,10.331,-0.790088250440773
"Carlina sp",NA,28.556907537,0.261363636363636,NA,19.58565121475,1.684,NA,1.45179166666667,17.9411672568704,-0.456900181154973
"Carlina vulgaris",NA,28.556907537,0.285888888888889,NA,15.5208682863333,1.221,NA,1.45179166666667,18.9695682375286,-0.540463933973299
"Carum carvi",NA,13.8428523043333,0.334242105263158,2.00273972602739,32.4463393992308,1.89733333333333,0.50251256287469,1.39463636363636,29.2655679586667,1.31080048067318
