Species,Genus
Rosa abietina,Rosa
Rosa agrestis,Rosa
Rosa arvensis,Rosa
Rosa caesia,Rosa
Rosa canina,Rosa
Rosa canina ,Rosa
Rosa chavinii,Rosa
Rosa corymbifera,Rosa
Rosa corymbifera,Rosa
Rosa dumalis,Rosa
Rosa elliptica,Rosa
Rosa foetida,Rosa
Rosa gallica,Rosa
Rosa glauca,Rosa
Rosa gremlii,Rosa
Rosa inodora,Rosa
Rosa jundzillii,Rosa
Rosa majalis,Rosa
Rosa micrantha,Rosa
Rosa mollis,Rosa
Rosa montana,Rosa
Rosa multiflora,Rosa
Rosa pendulina,Rosa
Rosa pseudoscabriuscula,Rosa
Rosa rhaetica,Rosa
Rosa rubiginosa,Rosa
Rosa rubiginosa,Rosa
Rosa rugosa,Rosa
Rosa sherardii,Rosa
Rosa spinosissima,Rosa
Rosa stylosa,Rosa
Rosa subcanina,Rosa
Rosa subcollina,Rosa
Rosa tomentella,Rosa
Rosa tomentosa,Rosa
Rosa uriensis,Rosa
Rosa villosa,Rosa
