species,genus,family
Achillea millefolium,Achillea,Asteraceae
Acinos alpinus,Acinos,Lamiaceae
Aegopodium podagraria,Aegopodium,Apiaceae
Agrimonia eupatoria,Agrimonia,Rosaceae
Agrostis capillaris,Agrostis,Poaceae
Agrostis stolonifera,Agrostis,Poaceae
Agrostis schraderiana,Agrostis,Poaceae
Agrostis sp,Agrostis,Poaceae
Ajuga reptans,Ajuga,Lamiaceae
Alchemilla sp,Alchemilla,Rosaceae
Anthericum ramosum,Anthericum,Asparagaceae
Anthyllis vulneraria,Anthyllis,Fabaceae
Arabis sp,Arabis,Brassicaceae
Arabidopsis sp,Arabidopsis,Brassicaceae
Arabis ciliata,Arabis,Brassicaceae
Arenaria serpyllifolia,Arenaria,Caryophyllaceae
Asperula cynanchica,Asperula,Rubiaceae
Aster bellidiastrum,Aster,Asteraceae
Asteraceae sp,Asteraceae,Asteraceae
Bellis perennis,Bellis,Asteraceae
Persicaria vivipara,Bistorta,Polygonaceae
Briza media,Briza,Poaceae
Brachypodium pinnatum,Brachypodium,Poaceae
Bromus hordeaceus,Bromus,Poaceae
Bromus sp,Bromus,Poaceae
Bromus erectus,Bromus,Poaceae
Bromus inermis,Bromus,Poaceae
Buphthalmum salicifolium,Buphthalmum,Asteraceae
Campanula schleuzerii,Campanula,Campanulaceae
Campanula rotundifolia,Campanula,Campanulaceae
Campanula glomerata,Campanula,Campanulaceae
Campanula sp ,Campanula,Campanulaceae
Carduus sp,Carduus,Asteraceae
Carduus defloratus,Carduus,Asteraceae
Carlina sp,Carlina,Asteraceae
Carlina acaulis,Carlina,Asteraceae
Carlina vulgaris,Carlina,Asteraceae
Carex sp,Carex,Cyperaceae
Carex flacca,Carex,Cyperaceae
Carex sempervirens,Carex,Cyperaceae
Carum carvi,Carum,Apiaceae
Centaurea jacea,Centaurea,Asteraceae
Centaurea scabiosa,Centaurea,Asteraceae
Cerastium fontanum,Cerastium,Caryophyllaceae
Cerastium sp,Cerastium,Caryophyllaceae
Cirsium arvense,Cirsium,Asteraceae
Cirsium acaule,Cirsium,Asteraceae
Cirsium sp,Cirsium,Asteraceae
Clinopodium vulgare,Clinopodium,Lamiaceae
Crepis sp,Crepis,Asteraceae
Colchicum autumnale,Colchicum,Colchicaceae
Cynosurus cristatus,Cynosurus,Poaceae
Dactylis glomerata,Dactylis,Poaceae
Danthonia decumbens,Danthonia,Poaceae
Daucus carota,Daucus,Apiaceae
Deschampsia cespitosa,Deschampsia,Poaceae
Aster amellus,Aster,Asteraceae
Echium vulgare,Echium,Boraginaceae
