Original,species,genus,family,Notes
Achillea millefolium,Achillea millefolium,Achillea,,
Acinos alpinus,Acinos alpinus,Acinos,,
Aegopodium podagraria,Aegopodium podagraria,Aegopodium,,
Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia,,
Agrostis capillaris,Agrostis capillaris,Agrostis,,
Agrostis capillaris / A. schraderiana,Agrostis capillaris / A. schraderiana,Agrostis,,"Deleted from phylogeny, since both species are present in this list. Need to figure out how to combine for phylogeny"
Agrostis stolonifera,Agrostis stolonifera,Agrostis,,
Agrostis schraderiana,Agrostis schraderiana,Agrostis,,
Agrostis schraderiana / A. stolonifera,Agrostis schraderiana / A. stolonifera,Agrostis,,"Deleted from phylogeny, since both species are present in this list. Need to figure out how to combine for phylogeny"
Agrostis sp,Agrostis sp,Agrostis,,
Ajuga reptans,Ajuga reptans,Ajuga,,
Alchemilla sp 1,Alchemilla sp 1,Alchemilla,,"Deleted from phylogeny, and combined into Alchemilla sp."
Alchemilla sp 2,Alchemilla sp 2,Alchemilla,,"Deleted from phylogeny, and combined into Alchemilla sp."
Alchemilla sp,Alchemilla sp,Alchemilla,,
Anthericum ramosum,Anthericum ramosum,Anthericum,,
Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis,,
Arabis sp / Arabidopsis sp,Arabis sp,Arabis,,"Replaced Arabis sp / Arabidopsis sp with two lines -- one for Arabis sp. And one for Arabidopsis sp. To calculate phylogenetic diversity, we will want to create a polytomy or combine these or add both to the community at 50% of the cover of each one"
Arabis sp / Arabidopsis sp,Arabidopsis sp,Arabidopsis,,
Arabis ciliata,Arabis ciliata,Arabis,,
Arenaria serpyllifolia,Arenaria serpyllifolia,Arenaria,,
Asperula cynanchica,Asperula cynanchica,Asperula,,
Aster bellidiastrum,Aster bellidiastrum,Aster,,
Asteraceae sp,Asteraceae sp,Asteraceae,,
Bellis perennis,Bellis perennis,Bellis,,
Persicaria vivipara,Bistorta viviparum,Bistorta,,
Briza media,Briza media,Briza,,
Brachypodium pinnatum,Brachypodium pinnatum,Brachypodium,,
Bromus hordeaceus,Bromus hordeacus,Bromus,,
Bromus sp,Bromus sp,Bromus,,
Bromus erectus,Bromus erectus,Bromus,,
Bromus inermis,Bromus inermis,Bromus,,
Buphthalmum salicifolium,Buphthalmum salicifolium,Buphthalmum,,
Campanula schleuzerii / C. rotundifolia,Campanula schleuzerii,Campanula,,Changed from Campanula schleuzerii / C. rotundifolia to C. schleuzerii for the phylogeny because rotundifolia was already present. Forp hylogenetic diversity calculation we will need to create a polytomy or combine these in some way
Campanula rotundifolia,Campanula rotundifolia,Campanula,,
Campanula glomerata,Campanula glomerata,Campanula,,
Campanula sp ,Campanula sp ,Campanula,,
Carduus sp,Carduus sp,Carduus,,
Carduus defloratus,Carduus defloratus,Carduus,,
